Date,Open,High,Low,Close,Volume,Dividend,SMA 200,Enter_200
2004-12-06,119.21,119.64,118.84,119.21,33030500,0.0,112.76275000000005,1
2004-12-07,119.49,119.62,118.04,118.1,52047200,0.0,112.78030000000004,1
2004-12-08,118.21,118.82,118.01,118.79,43895100,0.0,112.80230000000005,1
2004-12-09,118.14,119.46,117.73,119.21,60922800,0.0,112.82400000000005,1
2004-12-10,118.92,119.56,118.85,119.33,47828600,0.0,112.84595000000007,1
2004-12-13,119.76,120.4,119.35,120.37,38541000,0.0,112.87270000000007,1
2004-12-14,120.18,120.96,120.18,120.79,41500700,0.0,112.89585000000007,1
2004-12-15,120.7,121.11,120.31,120.88,46699200,0.0,112.92285000000007,1
2004-12-16,120.72,121.24,120.04,120.81,51641800,0.0,112.94845000000008,1
2004-12-17,119.46,119.97,119.16,119.44,70761900,0.568,112.96570000000007,1
2004-12-20,119.75,120.29,119.17,119.47,47187400,0.0,112.98115000000007,1
2004-12-21,119.6,120.48,119.46,120.39,33094200,0.0,113.00830000000008,1
2004-12-22,120.38,121.08,120.3,120.68,31500700,0.0,113.03920000000008,1
2004-12-23,120.87,121.28,120.66,120.77,25646100,0.0,113.08015000000006,1
2004-12-27,121.2,121.36,120.39,120.52,29944100,0.0,113.12715000000007,1
2004-12-28,120.64,121.33,120.6,121.18,23422900,0.0,113.17015000000006,1
2004-12-29,121.08,121.4,120.95,121.36,22650600,0.0,113.22095000000007,1
2004-12-30,121.4,121.57,121.04,121.13,21076900,0.0,113.26765000000006,1
2004-12-31,121.3,121.66,120.8,120.87,28648800,0.0,113.30680000000005,1
2005-01-03,121.56,121.76,119.9,120.3,55748000,0.0,113.34295000000006,1
2005-01-04,120.46,120.54,118.44,118.83,69167600,0.0,113.38180000000006,1
2005-01-05,118.74,119.25,118.0,118.01,65667300,0.0,113.42360000000004,1
2005-01-06,118.44,119.15,118.26,118.61,47814700,0.0,113.46935000000005,1
2005-01-07,118.97,119.23,118.13,118.44,55847700,0.0,113.51380000000005,1
2005-01-10,118.34,119.46,118.34,119.0,56563300,0.0,113.55380000000005,1
2005-01-11,118.64,118.74,117.99,118.18,63099700,0.0,113.58955000000006,1
2005-01-12,118.4,118.84,117.52,118.57,72720500,0.0,113.61945000000006,1
2005-01-13,118.64,118.73,117.5,117.62,55537500,0.0,113.64270000000005,1
2005-01-14,117.97,118.53,117.76,118.24,42032500,0.0,113.66840000000006,1
2005-01-18,118.05,119.62,117.95,119.47,57391700,0.0,113.69685000000007,1
2005-01-19,119.43,119.52,118.21,118.22,54378900,0.0,113.71475000000008,1
2005-01-20,117.89,118.2,117.29,117.5,72049300,0.0,113.72590000000008,1
2005-01-21,117.79,118.0,116.65,116.78,63160400,0.0,113.73530000000007,1
2005-01-24,117.09,117.34,116.37,116.55,58441900,0.0,113.74490000000006,1
2005-01-25,116.91,117.47,116.72,116.88,68245000,0.0,113.75745000000006,1
2005-01-26,117.32,117.6,117.04,117.23,57195100,0.0,113.76950000000006,1
2005-01-27,117.19,117.75,116.98,117.43,55878800,0.0,113.79060000000007,1
2005-01-28,117.49,117.55,116.61,117.43,60738900,0.0,113.81080000000007,1
2005-01-31,117.95,118.25,117.71,118.16,52532700,0.0,113.83680000000008,1
2005-02-01,118.25,119.08,118.1,118.91,49841200,0.0,113.86220000000007,1
2005-02-02,119.06,119.59,118.9,119.27,52468900,0.0,113.88940000000007,1
2005-02-03,119.06,119.16,118.57,118.96,48837100,0.0,113.92460000000007,1
2005-02-04,119.0,120.43,118.98,120.23,50024600,0.0,113.96240000000007,1
2005-02-07,120.25,120.52,119.96,120.07,45412000,0.0,113.99150000000007,1
2005-02-08,120.17,120.65,120.07,120.21,39263500,0.0,114.02075000000006,1
2005-02-09,120.42,120.49,119.25,119.31,55279400,0.0,114.04630000000006,1
2005-02-10,119.66,120.02,119.26,119.74,45858600,0.0,114.07350000000008,1
2005-02-11,119.7,121.04,119.46,120.77,53133000,0.0,114.11325000000008,1
2005-02-14,120.69,120.86,120.48,120.68,32432100,0.0,114.15750000000007,1
2005-02-15,120.8,121.43,120.68,121.13,43852700,0.0,114.20835000000008,1
2005-02-16,120.93,121.46,120.67,121.21,55523000,0.0,114.25365000000006,1
